"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 29 17:39:47 GMT 2022","Wed Jun 29 17:39:49 GMT 2022","2509","","LoginTest","","LoginTest","inValidLogin","InValid Login Test",""
"passed","Wed Jun 29 17:39:49 GMT 2022","Wed Jun 29 17:39:55 GMT 2022","5368","","LoginTest","","LoginTest","logout","Logout Test with button",""
"passed","Wed Jun 29 17:39:29 GMT 2022","Wed Jun 29 17:39:33 GMT 2022","3823","","SignInTest","","SignInTest","SignInTest","Valid Sign-in Test",""
"passed","Wed Jun 29 17:39:15 GMT 2022","Wed Jun 29 17:39:29 GMT 2022","13527","","SignInTest","","SignInTest","textTest","Sign-in from a test file",""
"failed","Wed Jun 29 17:40:00 GMT 2022","Wed Jun 29 17:40:03 GMT 2022","3086","","ProfileTest","","ProfileTest","invalideditProfile","Overwrite Profile with invalid data",""
"passed","Wed Jun 29 17:40:03 GMT 2022","Wed Jun 29 17:40:06 GMT 2022","3315","","ProfileTest","","ProfileTest","deleteProfile","Delete Profile",""
"passed","Wed Jun 29 17:39:37 GMT 2022","Wed Jun 29 17:39:43 GMT 2022","5627","","SignInTest","","SignInTest","SignInWithDuplicateData","Invalid Sign-in Test with duplicate data",""
"passed","Wed Jun 29 17:38:35 GMT 2022","Wed Jun 29 17:38:38 GMT 2022","3172","","LandingPageTest","","LandingPageTest","experienceTest","Listing experience entries",""
"passed","Wed Jun 29 17:39:55 GMT 2022","Wed Jun 29 17:39:57 GMT 2022","2775","","LoginTest","","LoginTest","validLogin","Valid Login Test",""
"passed","Wed Jun 29 17:40:06 GMT 2022","Wed Jun 29 17:40:12 GMT 2022","5996","","ProfileTest","","ProfileTest","editAgainProfile","Overwrite Profile",""
"passed","Wed Jun 29 17:38:44 GMT 2022","Wed Jun 29 17:39:11 GMT 2022","27684","","BlogTest","","BlogTest","goToBlog","Pagination Test",""
"passed","Wed Jun 29 17:39:57 GMT 2022","Wed Jun 29 17:40:00 GMT 2022","2450","","LoginTest","","LoginTest","MissingDetailsLogin","Login with missing data",""
"passed","Wed Jun 29 17:40:15 GMT 2022","Wed Jun 29 17:40:19 GMT 2022","3077","","ProfileTest","","ProfileTest","editMissingProfile","Overwrite Profile with one data",""
"passed","Wed Jun 29 17:39:29 GMT 2022","Wed Jun 29 17:39:29 GMT 2022","474","","SignInTest","","SignInTest","closeTermsAndCondtitons","Closing Terms and Conditions with X button",""
"passed","Wed Jun 29 17:40:12 GMT 2022","Wed Jun 29 17:40:15 GMT 2022","3110","","ProfileTest","","ProfileTest","editProfile","Edit Profile",""
"passed","Wed Jun 29 17:38:38 GMT 2022","Wed Jun 29 17:38:41 GMT 2022","2858","","LandingPageTest","","LandingPageTest","getTextFromPage","Save text file",""
"failed","Wed Jun 29 17:39:33 GMT 2022","Wed Jun 29 17:39:37 GMT 2022","3832","","SignInTest","","SignInTest","SignInWithoutData","Invalid Sign-in Test with missing data",""
"failed","Wed Jun 29 17:39:43 GMT 2022","Wed Jun 29 17:39:47 GMT 2022","3673","","CommentTest","","CommentTest","leaveComment","Leave a Comment",""
"broken","Wed Jun 29 17:38:31 GMT 2022","Wed Jun 29 17:38:35 GMT 2022","3896","","LandingPageTest","","LandingPageTest","saveImageFileOnSite","Save image file",""
"passed","Wed Jun 29 17:39:43 GMT 2022","Wed Jun 29 17:39:43 GMT 2022","488","","SignInTest","","SignInTest","acceptTermsAndConditions","Closing Terms and Conditions with OK button",""
"passed","Wed Jun 29 17:38:41 GMT 2022","Wed Jun 29 17:38:44 GMT 2022","2910","","LandingPageTest","","LandingPageTest","educationTest","Listing education entries",""
"failed","Wed Jun 29 17:39:11 GMT 2022","Wed Jun 29 17:39:15 GMT 2022","3857","","SignInTest","","SignInTest","SignInWithWrongData","Invalid Sign-in Test with Wrong e-mail",""
